Month,Subscription Revenue,Onboarding Fees,Support Revenue,Total Revenue,Hosting Costs,Salaries,Marketing,Office,Software,Total Expenses,Net Profit
2025-04,168500,12000,8500,189000,14200,95000,28000,6500,4800,148500,40500
2025-05,172000,15000,8800,195800,14500,95000,32000,6500,4800,152800,43000
2025-06,178500,9000,9200,196700,14800,95000,25000,6500,5100,146400,50300
2025-07,183000,18000,9000,210000,15000,98000,35000,6500,5100,159600,50400
2025-08,179500,6000,8800,194300,15200,98000,22000,6500,5100,146800,47500
2025-09,186000,21000,9500,216500,15500,98000,38000,6500,5400,163400,53100
2025-10,192500,24000,10200,226700,15800,102000,42000,6500,5400,171700,55000
2025-11,198000,15000,10500,223500,16000,102000,35000,6500,5400,164900,58600
2025-12,195000,6000,9800,210800,16200,102000,18000,6500,5400,148100,62700
2026-01,204500,27000,11000,242500,16500,105000,45000,7200,5800,179500,63000
2026-02,210000,21000,11500,242500,16800,105000,40000,7200,5800,174800,67700
2026-03,218000,24000,12000,254000,17000,105000,42000,7200,5800,177000,77000
